   0.0000000000000000        0.0000000000000000     
   1.0001000100010001E-003   0.0000000000000000     
   2.0002000200020002E-003   0.0000000000000000     
   3.0003000300030001E-003   1.1102230246251565E-016
   4.0004000400040004E-003   2.2204460492503131E-016
   5.0005000500050007E-003   2.2204460492503131E-016
   6.0006000600060011E-003   3.3306690738754696E-016
   7.0007000700070014E-003   3.3306690738754696E-016
   8.0008000800080008E-003   5.5511151231257827E-016
   9.0009000900090012E-003   6.6613381477509392E-016
   1.0001000100010001E-002   8.8817841970012523E-016
   1.1001100110011002E-002   9.9920072216264089E-016
   1.2001200120012002E-002   1.3322676295501878E-015
   1.3001300130013002E-002   1.5543122344752192E-015
   1.4001400140014003E-002   1.7763568394002505E-015
   1.5001500150015003E-002   1.9984014443252818E-015
   1.6001600160016002E-002   2.2204460492503131E-015
   1.7001700170017002E-002   2.4424906541753444E-015
   1.8001800180018002E-002   2.6645352591003757E-015
   1.9001900190019003E-002   2.9976021664879227E-015
   2.0002000200020003E-002   3.4416913763379853E-015
   2.1002100210021003E-002   3.7747582837255322E-015
   2.2002200220022004E-002   4.1078251911130792E-015
   2.3002300230023004E-002   4.4408920985006262E-015
   2.4002400240024004E-002   4.7739590058881731E-015
   2.5002500250025005E-002   5.2180482157382357E-015
   2.6002600260026005E-002   5.6621374255882984E-015
   2.7002700270027005E-002   5.9952043329758453E-015
   2.8002800280028006E-002   6.5503158452884236E-015
   2.9002900290029006E-002   6.9944050551384862E-015
   3.0003000300030006E-002   7.4384942649885488E-015
   3.1003100310031007E-002   7.9936057773011271E-015
   3.2003200320032003E-002   8.4376949871511897E-015
   3.3003300330033000E-002   8.9928064994637680E-015
   3.4003400340033997E-002   9.5479180117763462E-015
   3.5003500350034994E-002   1.0103029524088925E-014
   3.6003600360035991E-002   1.0658141036401503E-014
   3.7003700370036988E-002   1.1324274851176597E-014
   3.8003800380037984E-002   1.1879386363489175E-014
   3.9003900390038981E-002   1.2545520178264269E-014
   4.0004000400039978E-002   1.3100631690576847E-014
   4.1004100410040975E-002   1.3766765505351941E-014
   4.2004200420041972E-002   1.4432899320127035E-014
   4.3004300430042969E-002   1.5210055437364645E-014
   4.4004400440043966E-002   1.5876189252139739E-014
   4.5004500450044962E-002   1.6542323066914832E-014
   4.6004600460045959E-002   1.7208456881689926E-014
   4.7004700470046956E-002   1.7985612998927536E-014
   4.8004800480047953E-002   1.8762769116165146E-014
   4.9004900490048950E-002   1.9539925233402755E-014
   5.0005000500049947E-002   2.0317081350640365E-014
   5.1005100510050944E-002   2.1205259770340490E-014
   5.2005200520051940E-002   2.2093438190040615E-014
   5.3005300530052937E-002   2.2870594307278225E-014
   5.4005400540053934E-002   2.3758772726978350E-014
   5.5005500550054931E-002   2.4646951146678475E-014
   5.6005600560055928E-002   2.5535129566378600E-014
   5.7005700570056925E-002   2.6423307986078726E-014
   5.8005800580057922E-002   2.7311486405778851E-014
   5.9005900590058918E-002   2.8310687127941492E-014
   6.0006000600059915E-002   2.9309887850104133E-014
   6.1006100610060912E-002   3.0198066269804258E-014
   6.2006200620061909E-002   3.1197266991966899E-014
   6.3006300630062906E-002   3.2196467714129540E-014
   6.4006400640063910E-002   3.3306690738754696E-014
   6.5006500650064913E-002   3.4305891460917337E-014
   6.6006600660065917E-002   3.5416114485542494E-014
   6.7006700670066921E-002   3.6526337510167650E-014
   6.8006800680067925E-002   3.7636560534792807E-014
   6.9006900690068929E-002   3.8746783559417963E-014
   7.0007000700069932E-002   3.9857006584043120E-014
   7.1007100710070936E-002   4.0967229608668276E-014
   7.2007200720071940E-002   4.2188474935755949E-014
   7.3007300730072944E-002   4.3409720262843621E-014
   7.4007400740073948E-002   4.4519943287468777E-014
   7.5007500750074951E-002   4.5741188614556449E-014
   7.6007600760075955E-002   4.6962433941644122E-014
   7.7007700770076959E-002   4.8294701571194310E-014
   7.8007800780077963E-002   4.9515946898281982E-014
   7.9007900790078966E-002   5.0848214527832170E-014
   8.0008000800079970E-002   5.2069459854919842E-014
   8.1008100810080974E-002   5.3401727484470030E-014
   8.2008200820081978E-002   5.4733995114020217E-014
   8.3008300830082982E-002   5.6066262743570405E-014
   8.4008400840083985E-002   5.7509552675583109E-014
   8.5008500850084989E-002   5.8952842607595812E-014
   8.6008600860085993E-002   6.0285110237146000E-014
   8.7008700870086997E-002   6.1728400169158704E-014
   8.8008800880088001E-002   6.3060667798708891E-014
   8.9008900890089004E-002   6.4503957730721595E-014
   9.0009000900090008E-002   6.5947247662734299E-014
   9.1009100910091012E-002   6.7390537594747002E-014
   9.2009200920092016E-002   6.8944849829222221E-014
   9.3009300930093020E-002   7.0499162063697440E-014
   9.4009400940094023E-002   7.1942451995710144E-014
   9.5009500950095027E-002   7.3496764230185363E-014
   9.6009600960096031E-002   7.5051076464660582E-014
   9.7009700970097035E-002   7.6605388699135801E-014
   9.8009800980098039E-002   7.8270723236073536E-014
   9.9009900990099042E-002   7.9825035470548755E-014
  0.10001000100010005        8.1490370007486490E-014
  0.10101010101010105        8.3155704544424225E-014
  0.10201020102010205        8.4710016778899444E-014
  0.10301030103010306        8.6264329013374663E-014
  0.10401040104010406        8.8040685852774914E-014
  0.10501050105010507        8.9706020389712648E-014
  0.10601060106010607        9.1482377229112899E-014
  0.10701070107010707        9.3147711766050634E-014
  0.10801080108010808        9.4924068605450884E-014
  0.10901090109010908        9.6589403142388619E-014
  0.11001100110011008        9.8365759981788869E-014
  0.11101110111011109        1.0014211682118912E-013
  0.11201120112011209        1.0191847366058937E-013
  0.11301130113011310        1.0369483049998962E-013
